Day,Prices(S_n),A_n,Total_Stocks,Total_Spent,actions,density,Probabilité action,payoff,verifTotalStock,VerifTotalSpent
23,102.30591010361968,100.8954641754179,-21.01281625907339,-2061.8245244266727,1.077503164917957,tensor([1.5657]),0.5094690918922424,-186.08473756480726,-21.012816259073396,-2061.8245244266727
24,102.81561244861692,100.97547035346786,-19.935313094155433,-1951.04037661031,-3.6621235199667153,tensor([1.4615]),0.3238098919391632,-186.08473756480726,-19.93531309415544,-1951.04037661031
25,102.38804867784123,101.03197348644277,-23.59743661412215,-2325.998057836929,19.27306183702386,tensor([-0.0137]),0.9622542858123779,-186.08473756480726,-23.597436614122152,-2325.998057836929
26,102.32388828048173,101.08166251698275,-4.3243747770982885,-353.9034316024838,-14.32089955296859,tensor([0.0915]),0.04296845197677612,-186.08473756480726,-4.324374777098293,-353.9034316024838
27,102.25008244985914,101.12493732931152,-18.64527433006688,-1818.216591649673,12.365094148665285,tensor([0.9106]),0.8738763332366943,-186.08473756480726,-18.645274330066883,-1818.216591649673
28,102.35468328462049,101.16885682771539,-6.280180181401594,-552.5912962785237,-10.290956543215623,tensor([0.7886]),0.10622608661651611,-186.08473756480726,-6.280180181401598,-552.5912962785237
29,102.17031423352827,101.20338984170894,-16.57113672461722,-1604.0215600624476,2.8951082124924215,tensor([1.5489]),0.5732366442680359,-186.08473756480726,-16.571136724617222,-1604.0215600624479
30,102.26852593609537,101.23889437818849,-13.6760285121248,-1307.9431107453638,12.734793411410442,tensor([0.8091]),0.8907201290130615,-186.08473756480726,-13.6760285121248,-1307.9431107453638
31,102.34272118324293,101.27450169448058,-0.9412351007143567,-4.629699315185917,-3.3902814279177083,tensor([1.4507]),0.31553295254707336,-186.08473756480726,-0.9412351007143587,-4.629699315185917
32,102.72025349926733,101.31968143838014,-4.331516528632065,-352.88026702475094,-12.713742732852731,tensor([0.3571]),0.05998373031616211,-186.08473756480726,-4.331516528632067,-352.88026702475094
33,102.9180948830344,101.36811820943028,-17.045259261484794,-1661.3544479229774,15.846288316639457,tensor([0.4581]),0.9316967129707336,-186.08473756480726,-17.045259261484798,-1661.3544479229774
34,102.27377451948406,101.39475515972597,-1.1989709448453372,-40.69472965625891,0.1421094601786069,tensor([1.5629]),0.46876242756843567,-186.08473756480726,-1.198970944845341,-40.694729656258914
35,101.56076580397273,101.39949832099016,-1.0568614846667304,-26.26198405253043,3.4199058075196183,tensor([1.5191]),0.620309591293335,-186.08473756480726,-1.056861484666734,-26.26198405253043
36,101.22529935174128,101.39465946073325,2.363044322852888,319.9190050684015,-14.372973485935413,tensor([-0.1700]),0.031208425760269165,-186.08473756480726,2.3630443228528843,319.9190050684015
37,101.60785645595094,101.40042154168509,-12.009929163082525,-1140.4880217357127,-0.7344035042280957,tensor([1.5417]),0.41278284788131714,-186.08473756480726,-12.009929163082528,-1140.4880217357127
38,101.96741089856185,101.41534231423448,-12.744332667310621,-1215.3732456166827,-8.326100747856875,tensor([1.0292]),0.15006712079048157,-186.08473756480726,-12.744332667310625,-1215.3732456166827
39,102.27963089551777,101.4375035599084,-21.070433415167496,-2066.9637569063784,-2.725921874774105,tensor([1.4683]),0.32924067974090576,-186.08473756480726,-21.0704334151675,-2066.9637569063784
40,102.23006130511689,101.45731750353862,-23.7963552899416,-2345.6349172774944,19.021634744756433,tensor([0.1800]),0.9520328640937805,-186.08473756480726,-23.796355289941605,-2345.6349172774944
41,102.2165918625911,101.47583639034478,-4.774720545185168,-401.30824201344376,-0.27084181196177715,tensor([1.5499]),0.42893436551094055,-186.08473756480726,-4.774720545185172,-401.30824201344376
42,102.33808755617342,101.49636618000737,-5.045562357146945,-429.0256750798608,14.86955827639299,tensor([0.3745]),0.9386672973632812,-186.08473756480726,-5.045562357146949,-429.0256750798608
43,102.08036086515351,101.50994745175494,9.823995919246045,1088.8641996797655,-4.882713856641551,tensor([1.2726]),0.22184371948242188,-186.08473756480726,9.823995919246041,1088.8641996797655
44,102.36988027113328,101.52949137946807,4.941282062604493,589.0213667771665,-5.407868121292786,tensor([1.2320]),0.20687758922576904,-186.08473756480726,4.94128206260449,589.0213667771665
45,102.29909523741999,101.54659368742259,-0.46658605868829284,35.8013508056282,-3.2158048204872225,tensor([1.4194]),0.294127881526947,-186.08473756480726,-0.4665860586882965,35.8013508056282
46,102.31713208900561,101.5633445222396,-3.682390879175515,-293.2305757846239,2.4211626989436934,tensor([1.5603]),0.542360246181488,-186.08473756480726,-3.682390879175519,-293.2305757846239
