Day,Prices(S_n),A_n,Total_Stocks,Total_Spent,actions,payoff
0,45.0,45.0,0.0,0.0,0.6394398,0
1,46.764053,46.764053,0.6394398,29.902798,0.78838944,0
2,47.74279,47.25342,1.4278293,67.54271,0.6528926,0
3,49.610348,48.039062,2.0807219,99.93294,0.40320206,0
4,50.560436,48.669407,2.483924,120.31901,0.35052252,0
5,50.45722,49.02697,2.8344464,138.0054,0.36245537,0
6,50.60126,49.28935,3.1969018,156.3461,0.38729596,0
7,51.3623,49.585484,3.5841978,176.23851,0.349164,0
8,51.806164,49.86307,3.9333618,194.32736,0.36111426,0
9,53.300243,50.24498,4.294476,213.57484,0.27510452,0
10,53.613308,50.581814,4.5695806,228.32411,0.3634596,0
11,51.060318,50.62531,4.93304,246.88248,0.7288575,0
12,51.924755,50.7336,5.6618977,284.7282,0.36249733,0
13,54.19451,50.99982,6.024395,304.37357,0.052500725,0
14,54.24027,51.23129,6.0768957,307.22122,0.37696934,0
15,55.77305,51.534065,6.453865,328.24594,0.19503546,0
16,55.927994,51.80869,6.6489005,339.15387,0.3642125,0
17,55.04021,51.99878,7.013113,359.2002,0.52352476,0
18,54.6923,52.14842,7.536638,387.83298,0.44181156,0
19,55.92259,52.347057,7.9784493,412.54022,0.10497141,0
20,55.535263,52.50647,8.083421,418.36984,0.41211128,0
21,54.48671,52.600765,8.495532,440.82443,0.5377016,0
22,52.780437,52.608932,9.033234,469.20456,0.96318054,0
23,52.270786,52.594227,9.996414,519.5508,0.8311882,0
24,51.01799,52.528553,10.827602,561.95636,3.040328,0
25,49.40409,52.403576,13.86793,712.161,6.1320696,0
26,48.508625,52.25377,20.0,1009.61926,0.0,0
27,47.99782,52.09614,20.0,1009.61926,0.0,0
28,47.96964,51.948765,20.0,1009.61926,0.0,0
29,48.036156,51.813847,20.0,1009.61926,0.0,0
30,47.401833,51.666782,20.0,1009.61926,0.0,0
31,46.729374,51.50751,20.0,1009.61926,0.0,0
32,45.916225,51.332783,20.0,1009.61926,0.0,0
33,46.093655,51.17402,20.0,1009.61926,0.0,0
34,44.463455,50.976654,20.0,1009.61926,0.0,0
35,43.556156,50.764637,20.0,1009.61926,0.0,0
36,44.285248,50.584656,20.0,1009.61926,0.0,0
37,45.42465,50.445198,20.0,1009.61926,0.0,0
38,45.82699,50.32366,20.0,1009.61926,0.0,0
39,44.956192,50.186035,20.0,1009.61926,0.0,0
40,44.644638,50.047497,20.0,1009.61926,0.0,0
41,43.47949,49.887302,20.0,1009.61926,0.0,0
42,43.945152,49.745827,20.0,1009.61926,0.0,0
43,45.433403,49.645535,20.0,1009.61926,0.0,0
44,46.612183,49.576595,20.0,1009.61926,0.0,0
45,45.54143,49.486923,20.0,1009.61926,0.0,0
46,45.138256,49.392387,20.0,1009.61926,0.0,0
47,45.34653,49.30631,20.0,1009.61926,0.0,0
48,45.702896,49.231236,20.0,1009.61926,0.0,0
49,45.713398,49.159443,20.0,1009.61926,0.0,0
50,45.84031,49.093063,20.0,1009.61926,0.0,0
51,47.723457,49.066204,20.0,1009.61926,0.0,0
52,46.452972,49.015953,20.0,1009.61926,0.0,0
53,45.27985,48.94546,20.0,1009.61926,0.0,0
54,44.86623,48.86992,20.0,1009.61926,0.0,0
55,46.789173,48.832085,20.0,1009.61926,0.0,0
56,48.65673,48.828953,20.0,1009.61926,0.0,0
57,47.795506,48.81082,20.0,1009.61926,0.0,0
58,47.527504,48.7887,20.0,1009.61926,0.0,0
59,48.474754,48.78338,20.0,1009.61926,0.0,0
60,49.088833,48.788464,20.0,1009.61926,0.0,0
61,49.46526,48.79956,20.0,1009.61926,0.0,0
62,49.7635,48.81511,20.0,1009.61926,0.0,0
63,49.06893,48.819138,20.0,1009.61926,0.0,tensor(35.4562)
