Day,Prices(S_n),A_n,Total_Stocks,Total_Spent,actions,payoff
0,45.0,45.0,0.0,0.0,0.6394398,0
1,53.820263,53.820263,0.6394398,34.414818,0.41284084,0
2,58.71395,56.267105,1.0522807,58.654335,0.61441004,0
3,68.05174,60.195316,1.6666907,100.466,-0.11716843,0
4,72.802185,63.347034,1.5495223,91.93588,0.2383846,0
5,72.28609,65.13485,1.7879069,109.16777,0.51357985,0
6,73.00631,66.446754,2.3014867,146.66234,0.38817763,0
7,76.81149,67.92744,2.6896644,176.47884,0.23022223,0
8,79.030815,69.31535,2.9198866,194.6735,0.30133247,0
9,86.501205,71.22489,3.221219,220.73912,0.036961555,0
10,88.06654,72.90906,3.2581806,223.9942,0.3535986,0
11,75.3016,73.126564,3.6117792,250.62074,0.97933483,0
12,79.62378,73.668,4.591114,328.5991,0.15277243,0
13,90.97255,74.999115,4.7438865,342.4972,-0.13031054,0
14,91.20135,76.15642,4.613576,330.6127,0.39143467,0
15,98.86524,77.670334,5.0050106,369.31198,-0.032136917,0
16,99.63998,79.04344,4.9728737,366.10986,0.37752247,0
17,95.20105,79.99389,5.350396,402.0504,0.63943243,0
18,93.46149,80.742096,5.9898286,461.8127,0.43942928,0
19,99.61294,81.73529,6.429258,505.58557,0.06464195,0
20,97.67631,82.53234,6.4939,511.89957,0.48093843,0
21,92.43354,83.00383,6.9748383,556.35443,0.57734585,0
22,83.90219,83.04466,7.552184,604.79504,0.742712,0
23,81.35393,82.97115,8.294896,665.2176,0.54495525,0
24,75.08995,82.64277,8.839851,706.13824,4.9111404,0
25,67.02046,82.01788,13.750992,1035.2852,6.249008,0
26,62.543133,81.26885,20.0,1426.1177,0.0,0
27,59.989105,80.48071,20.0,1426.1177,0.0,0
28,59.848194,79.743835,20.0,1426.1177,0.0,0
29,60.18078,79.06925,20.0,1426.1177,0.0,0
30,57.00917,78.33391,20.0,1426.1177,0.0,0
31,53.646866,77.53756,20.0,1426.1177,0.0,0
32,49.581135,76.66392,20.0,1426.1177,0.0,0
33,50.468266,75.87011,20.0,1426.1177,0.0,0
34,42.317276,74.883255,20.0,1426.1177,0.0,0
35,37.780785,73.82319,20.0,1426.1177,0.0,0
36,41.426235,72.92327,20.0,1426.1177,0.0,0
37,47.12324,72.225975,20.0,1426.1177,0.0,0
38,49.13495,71.61831,20.0,1426.1177,0.0,0
39,44.780964,70.93018,20.0,1426.1177,0.0,0
40,43.223198,70.2375,20.0,1426.1177,0.0,0
41,37.39745,69.43652,20.0,1426.1177,0.0,0
42,39.72576,68.72913,20.0,1426.1177,0.0,0
43,47.167023,68.227684,20.0,1426.1177,0.0,0
44,53.06092,67.88299,20.0,1426.1177,0.0,0
45,47.707157,67.43463,20.0,1426.1177,0.0,0
46,45.691273,66.96195,20.0,1426.1177,0.0,0
47,46.732647,66.53155,20.0,1426.1177,0.0,0
48,48.51448,66.15619,20.0,1426.1177,0.0,0
49,48.566982,65.797226,20.0,1426.1177,0.0,0
50,49.20154,65.46531,20.0,1426.1177,0.0,0
51,58.617294,65.33103,20.0,1426.1177,0.0,0
52,52.26487,65.079765,20.0,1426.1177,0.0,0
53,46.399254,64.7273,20.0,1426.1177,0.0,0
54,44.331158,64.349594,20.0,1426.1177,0.0,0
55,53.94587,64.16044,20.0,1426.1177,0.0,0
56,63.28366,64.144775,20.0,1426.1177,0.0,0
57,58.977535,64.05412,20.0,1426.1177,0.0,0
58,57.637516,63.943493,20.0,1426.1177,0.0,0
59,62.373775,63.916885,20.0,1426.1177,0.0,0
60,65.444176,63.94234,20.0,1426.1177,0.0,0
61,67.3263,63.997814,20.0,1426.1177,0.0,0
62,68.81749,64.075554,20.0,1426.1177,0.0,0
63,65.34465,64.095695,20.0,1426.1177,0.0,tensor(199.2594)
