Day,Prices(S_n),A_n,Total_Stocks,Total_Spent,actions,payoff
0,45.0,45.0,0.0,0.0,0.6394398,0
1,45.176407,45.176407,0.6394398,28.887594,0.46215236,0
2,45.27428,45.22534,1.1015922,49.81121,0.5067551,0
3,45.461037,45.303905,1.6083473,72.84882,0.6254245,0
4,45.556046,45.36694,2.2337718,101.34069,0.625978,0
5,45.545723,45.402702,2.8597498,129.85132,0.6050122,0
6,45.560127,45.428936,3.464762,157.41576,0.528795,0
7,45.63623,45.45855,3.993557,181.54797,0.4954853,0
8,45.680614,45.48631,4.4890423,204.18205,0.50015545,0
9,45.830025,45.524498,4.9891977,227.10419,0.45925522,0
10,45.861332,45.55818,5.448453,248.16624,0.51140165,0
11,45.606033,45.562534,5.9598546,271.48926,0.6253023,0
12,45.692474,45.573364,6.585157,300.06085,0.5204625,0
13,45.919453,45.599983,7.1056194,323.9602,0.41753817,0
14,45.924026,45.62313,7.5231576,343.13525,0.49768496,0
15,46.077305,45.653404,8.020843,366.06723,0.3762293,0
16,46.0928,45.68087,8.397072,383.4087,0.44431877,0
17,46.00402,45.69988,8.841391,403.84915,0.56500816,0
18,45.96923,45.714844,9.406399,429.82214,0.4942646,0
19,46.09226,45.73471,9.900663,452.6039,0.3304615,0
20,46.053528,45.75065,10.231125,467.8228,0.40377426,0
21,45.94867,45.760075,10.634899,486.3757,0.45314026,0
22,45.778046,45.76089,11.088039,507.11957,0.5185633,0
23,45.727077,45.759426,11.606603,530.832,0.42803764,0
24,45.6018,45.752853,12.03464,550.35126,0.45476913,0
25,45.44041,45.740356,12.489409,571.0162,0.52001286,0
26,45.350864,45.725376,13.009422,594.5992,0.47514725,0
27,45.29978,45.709614,13.48457,616.1232,0.4132967,0
28,45.296963,45.694878,13.897866,634.8443,0.30898666,0
29,45.303616,45.68139,14.206853,648.8425,0.25718307,0
30,45.240185,45.66668,14.464036,660.47754,0.3057928,0
31,45.172935,45.65075,14.769829,674.2911,0.34917164,0
32,45.09162,45.633278,15.119,690.03577,0.39559364,0
33,45.109364,45.6174,15.514594,707.88074,0.2968645,0
34,44.946346,45.597664,15.811459,721.2237,0.5000076,0
35,44.855618,45.576466,16.311466,743.65186,0.52383804,0
36,44.928524,45.558464,16.835304,767.18713,0.25453758,0
37,45.042465,45.544518,17.089842,778.65216,0.0044384003,0
38,45.0827,45.532368,17.09428,778.85223,-0.006465912,0
39,44.99562,45.518604,17.087814,778.5613,0.1850338,0
40,44.964462,45.504753,17.272848,786.8812,0.20728302,0
41,44.84795,45.48873,17.480131,796.1774,0.40561867,0
42,44.894516,45.474583,17.88575,814.3875,0.22970963,0
43,45.04334,45.46455,18.11546,824.7344,-0.076574326,0
44,45.161217,45.45766,18.038885,821.2762,-0.18896866,0
45,45.054142,45.448692,17.849916,812.7624,0.13715935,0
46,45.013824,45.43924,17.987076,818.93646,0.22604942,0
47,45.034653,45.430634,18.213125,829.1165,0.1765976,0
48,45.07029,45.423126,18.389723,837.0758,0.13087654,0
49,45.07134,45.415947,18.5206,842.9746,0.17572403,0
50,45.08403,45.409313,18.696323,850.897,0.21318054,0
51,45.272346,45.406624,18.909504,860.54816,-0.07844162,0
52,45.145298,45.401596,18.831062,857.0069,0.35471344,0
53,45.027985,45.394547,19.185776,872.97894,0.81422424,0
54,44.98662,45.386993,20.0,909.60815,0.0,0
55,45.178917,45.38321,20.0,909.60815,0.0,0
56,45.365673,45.382896,20.0,909.60815,0.0,0
57,45.279552,45.38108,20.0,909.60815,0.0,0
58,45.25275,45.378872,20.0,909.60815,0.0,0
59,45.347477,45.378338,20.0,909.60815,0.0,0
60,45.408882,45.37885,20.0,909.60815,0.0,0
61,45.446526,45.379955,20.0,909.60815,0.0,0
62,45.47635,45.38151,20.0,909.60815,0.0,0
63,45.406895,45.381912,20.0,909.60815,0.0,tensor(nan)
