Day,Prices(S_n),A_n,Total_Stocks,Total_Spent,actions,payoff
0,45.0,45.0,0.0,0.0,0.6394398,0
1,45.529217,45.529217,0.6394398,29.113194,0.5616325,0
2,45.822838,45.676025,1.2010723,54.84879,0.5326301,0
3,46.383106,45.911716,1.7337024,79.553825,0.53171945,0
4,46.668133,46.100822,2.2654219,104.36818,0.51354337,0
5,46.637165,46.20809,2.7789652,128.31839,0.5465269,0
6,46.680378,46.286804,3.3254921,153.83047,0.50160813,0
7,46.90869,46.375645,3.8271003,177.36026,0.44525576,0
8,47.041847,46.458923,4.272356,198.30591,0.49049854,0
9,47.490074,46.573494,4.7628546,221.59972,0.42781258,0
10,47.583992,46.67454,5.190667,241.95674,0.49546528,0
11,46.818096,46.687595,5.6861324,265.15347,0.7299018,0
12,47.077427,46.72008,6.416034,299.51538,0.45250082,0
13,47.758354,46.79995,6.868535,321.12607,0.24917746,0
14,47.77208,46.86939,7.1177125,333.0298,0.42807722,0
15,48.231915,46.960224,7.5457897,353.67676,0.2870245,0
16,48.2784,47.042606,7.832814,367.53384,0.37912083,0
17,48.012062,47.099636,8.211935,385.7362,0.52295685,0
18,47.90769,47.144524,8.734892,410.78986,0.49355507,0
19,48.276775,47.204117,9.228447,434.6171,0.1452198,0
20,48.16058,47.25194,9.373667,441.61096,0.43220043,0
21,47.846012,47.28023,9.805867,462.29004,0.5880308,0
22,47.334133,47.28268,10.393898,490.12396,0.97262955,0
23,47.181236,47.278267,11.366528,536.01385,0.7343397,0
24,46.805397,47.258564,12.100867,570.3849,0.95478916,0
25,46.321228,47.22107,13.055656,614.6119,1.4339943,0
26,46.05259,47.17613,14.489651,680.651,1.8702259,0
27,45.899345,47.12884,16.359877,766.49316,3.3870068,0
28,45.890892,47.08463,19.746883,921.9259,0.2531166,0
29,45.910847,47.044155,20.0,933.5467,0.0,0
30,45.72055,47.000034,20.0,933.5467,0.0,0
31,45.51881,46.95225,20.0,933.5467,0.0,0
32,45.274868,46.899834,20.0,933.5467,0.0,0
33,45.328094,46.852207,20.0,933.5467,0.0,0
34,44.839035,46.793,20.0,933.5467,0.0,0
35,44.56685,46.72939,20.0,933.5467,0.0,0
36,44.785576,46.6754,20.0,933.5467,0.0,0
37,45.127396,46.633556,20.0,933.5467,0.0,0
38,45.248096,46.5971,20.0,933.5467,0.0,0
39,44.98686,46.555813,20.0,933.5467,0.0,0
40,44.89339,46.51425,20.0,933.5467,0.0,0
41,44.543846,46.466194,20.0,933.5467,0.0,0
42,44.683544,46.423748,20.0,933.5467,0.0,0
43,45.13002,46.39366,20.0,933.5467,0.0,0
44,45.483654,46.372982,20.0,933.5467,0.0,0
45,45.16243,46.346077,20.0,933.5467,0.0,0
46,45.041477,46.31772,20.0,933.5467,0.0,0
47,45.10396,46.291893,20.0,933.5467,0.0,0
48,45.21087,46.269375,20.0,933.5467,0.0,0
49,45.21402,46.247833,20.0,933.5467,0.0,0
50,45.252094,46.22792,20.0,933.5467,0.0,0
51,45.81704,46.21986,20.0,933.5467,0.0,0
52,45.435894,46.20479,20.0,933.5467,0.0,0
53,45.083954,46.18364,20.0,933.5467,0.0,0
54,44.95987,46.16098,20.0,933.5467,0.0,0
55,45.53675,46.149628,20.0,933.5467,0.0,0
56,46.09702,46.148685,20.0,933.5467,0.0,0
57,45.838654,46.143246,20.0,933.5467,0.0,0
58,45.75825,46.13661,20.0,933.5467,0.0,0
59,46.042427,46.135014,20.0,933.5467,0.0,0
60,46.22665,46.13654,20.0,933.5467,0.0,0
61,46.339577,46.13987,20.0,933.5467,0.0,0
62,46.42905,46.14453,20.0,933.5467,0.0,0
63,46.22068,46.14574,20.0,933.5467,0.0,tensor(5.4984)
